"","latitude","longitude"
"701",-13.84549,132.88521
"702",-15.3106,131.45178
"703",-15.30248,131.4738
"704",-15.30382,131.46622
"705",-15.30583,131.4548
"706",-15.29837,131.47304
"707",-13.89104,132.93861
"708",-13.89012,132.94356
"709",-13.89761,132.95482
"710",-13.90598,132.96144
"711",-14.45072,132.25774
"712",-15.31126,131.448
"713",-15.3086,131.46318
"714",-15.30793,131.46698
"715",-15.30726,131.47078
"716",-15.3127,131.46393
"717",-15.31814,131.45709
"718",-13.86238,132.93797
"719",-15.31748,131.46091
"720",-15.31681,131.46469
"721",-15.32158,131.46167
"722",-15.33046,131.45941
"723",-15.33522,131.45636
"724",-15.33456,131.46016
"725",-15.33373,131.45552
"726",-15.33304,131.45929
"727",-15.33715,131.46004
"728",-15.34126,131.4608
"729",-15.34057,131.46457
"730",-15.34536,131.46153
"731",-15.344,131.4691
"732",-14.29581,129.91301
"733",-13.24518,132.28488
"734",-15.29904,131.46925
"735",-15.29971,131.46544
"736",-15.30105,131.45786
"737",-13.85955,132.91306
"738",-13.85774,132.92302
"739",-15.30239,131.45026
"740",-15.29426,131.47229
"741",-15.29493,131.46849
"742",-15.29627,131.46088
"743",-15.29762,131.45328
"744",-15.29359,131.47609
"745",-15.29082,131.46773
"746",-15.29149,131.46391
"747",-15.29217,131.46011
"748",-15.29284,131.4563
"749",-15.28739,131.46315
"750",-15.28806,131.45934
"751",-15.28942,131.45171
"752",-15.29009,131.44791
"753",-15.28328,131.4624
"754",-15.28395,131.45857
"755",-15.28463,131.45474
"756",-15.28599,131.44711
"757",-15.28666,131.44333
"758",-15.27781,131.46924
"759",-15.27849,131.46544
"760",-15.27917,131.46165
"761",-15.28188,131.44637
"762",-15.28052,131.45399
"763",-15.28256,131.44257
"764",-15.27371,131.46844
"765",-15.27438,131.46466
"766",-15.27506,131.46086
"767",-15.27574,131.45703
"768",-15.27642,131.45322
"769",-15.2771,131.4494
"770",-15.27778,131.44559
"771",-15.27846,131.4418
"772",-15.27913,131.438
"773",-15.273,131.44862
