POSTAL_CODE,lon,lat
2604,149.1529768,-35.3321319
2605,149.0898262,-35.3341832
2606,149.0898262,-35.34907949999999
2607,149.0984358,-35.3639236
2608,NA,NA
2609,149.2190324,-35.2736652
2610,NA,NA
2611,148.7831534,-35.4477412
2612,149.1414924,-35.2792021
2614,149.0525253,-35.2516136
2615,149.0238401,-35.2087136
2616,NA,NA
2617,149.092696,-35.228161
2618,149.0353134,-35.1423355
2619,149.2017971,-35.3831348
2620,149.0123679,-35.631887999999996
2621,149.4490642,-35.4176011
2622,149.7487272,-35.52059
2623,149.4490642,-35.576588
2624,148.4002165,-36.4030689
2625,148.2975552,-36.499567
2626,149.1501056,-35.8686568
2627,148.4629997,-36.5726432
2628,148.7831534,-36.549011900000004
2629,148.7831534,-36.0002232
2630,149.1960526,-36.3150116
2631,149.3339956,-36.5504439
2632,149.1960526,-36.9411375
2633,148.8747865,-36.9653136
2640,147.259277,-35.9976838
2641,146.9548653,-36.03036549999999
2642,148.052689,-36.0220179
2643,146.6289429,-35.9580119
2644,147.4174803,-35.7533631
2645,146.2482277,-35.3139098
2646,146.2929381,-35.7553785
2647,146.0472969,-35.9286597
2648,142.1912307,-33.3707197
2649,148.3032562,-35.8017999
2650,147.4174803,-35.283152
2651,147.4740404,-35.1526817
2652,146.8311117,-34.6723667
2653,148.052689,-35.7869336
2655,147.1464245,-35.279554
2656,146.786149,-35.2474643
2658,146.9661233,-35.5374394
2659,146.8760951,-35.7436011
2660,147.0787735,-35.6696233
2661,147.2931571,-35.1571982
2663,147.6212403,-34.8118996
2665,146.8311117,-34.3566955
2666,147.5532762,-34.4152092
2668,147.4174803,-34.0966466
2669,146.6513853,-33.6678012
2671,147.3722545,-33.8840393
2672,146.2929381,-33.399431
2675,145.6689636,-33.2853898
2678,147.3581255,-35.0612323
2680,145.9358581,-34.394413
2681,146.1588712,-34.1102303
2700,146.2929381,-34.9767465
2701,147.2366964,-34.6770935
2702,147.0336982,-34.7932199
2703,146.3936145,-34.6260147
2705,146.3376699,-34.4808824
2706,145.8690603,-34.6280192
2707,145.7578403,-34.8075597
2708,NA,NA
2710,144.9611836,-35.247342
2711,144.4342138,-33.9871774
2712,145.8023118,-35.7148531
2713,145.5358152,-35.5514125
2714,145.3585972,-35.7249968
2715,143.2180495,-33.7309634
2716,145.7133909,-35.1438001
2717,142.0851258,-34.0796702
2720,148.2804541,-35.4209913
2721,147.6892483,-34.0173794
2722,148.143739,-34.9459647
2725,147.848103,-34.4822804
2726,148.3032562,-34.7739342
2727,148.4401655,-35.0518395
2729,147.9617144,-35.2879839
2730,148.0754444,-35.5382202
2731,144.6533747,-35.874342
2732,144.1283863,-35.46685009999999
2733,144.1720041,-35.0600117
2734,143.7803147,-35.1178199
2735,143.4986586,-35.1540393
2736,143.3690158,-34.9942345
2737,142.9599661,-34.3341497
2738,142.4891909,-34.2057057
2739,142.1806128,-34.1427659
2745,150.6517354,-33.8479652
2747,150.7330562,-33.7568098
2748,150.7330562,-33.818067
2749,150.6865817,-33.7039148
2750,150.6865817,-33.744767
2751,NA,NA
2752,150.5936766,-33.9245658
2753,150.6981989,-33.6149421
2754,150.7156265,-33.5631923
2755,NA,NA
2756,150.7214362,-33.3137032
2757,150.7011034,-33.5517656
2758,150.535641,-33.5114239
2759,150.7853574,-33.8060826
2760,150.7737333,-33.7520107
2761,150.8434913,-33.7393563
2762,150.8667511,-33.7044482
2763,150.8900145,-33.7206583
2765,150.8725666,-33.6496795
2766,150.8493059,-33.8072744
2767,150.8783824,-33.7585633
2768,150.9278252,-33.7278158
2769,150.9016476,-33.7031923
2770,150.8086082,-33.7610185
2773,150.6227031,-33.7639036
2774,150.6168974,-33.7266709
2775,151.0005643,-33.3029838
2776,150.5501477,-33.6863276
2777,150.6168974,-33.6858294
2778,150.4805286,-33.7344756
2779,150.4573297,-33.7284065
2780,150.3211123,-33.7054049
2782,150.3790612,-33.7206345
2783,150.4370338,-33.7256417
2784,150.4167407,-33.7279709
2785,150.2458144,-33.7110343
2786,150.3211123,-33.5115869
2787,149.9334764,-33.9632764
